Name,TechnologyName,LocationName,Age,OwnerName,Capacity,Efficiency
Energy Producer A CoalPSC ,CoalPSC,nlNode,10,Energy Producer A,727.21,
Energy Producer B CoalPSC ,CoalPSC,nlNode,12,Energy Producer B,727.21,
Energy Producer C CoalPSC ,CoalPSC,nlNode,14,Energy Producer C,727.21,
Energy Producer D CoalPSC ,CoalPSC,nlNode,16,Energy Producer D,727.21,
Energy Producer E CoalPSC ,CoalPSC,nlNode,18,Energy Producer E,727.21,
Energy Producer A CoalPSC ,CoalPSC,nlNode,12,Energy Producer A,727.21,
Energy Producer B CoalPSC ,CoalPSC,nlNode,14,Energy Producer B,727.21,
Energy Producer C CoalPSC ,CoalPSC,nlNode,20,Energy Producer C,727.21,
Energy Producer D CoalPSC ,CoalPSC,nlNode,22,Energy Producer D,727.21,
Energy Producer E CoalPSC ,CoalPSC,nlNode,8,Energy Producer E,727.21,
Energy Producer A CCGT ,CCGT,nlNode,6,Energy Producer A,828.21,
Energy Producer B CCGT ,CCGT,nlNode,8,Energy Producer B,828.21,
Energy Producer C CCGT ,CCGT,nlNode,10,Energy Producer C,828.21,
Energy Producer D CCGT ,CCGT,nlNode,12,Energy Producer D,828.21,
Energy Producer E CCGT ,CCGT,nlNode,14,Energy Producer E,828.21,
Energy Producer A CCGT ,CCGT,nlNode,16,Energy Producer A,828.21,
Energy Producer B CCGT ,CCGT,nlNode,10,Energy Producer B,828.21,
Energy Producer C CCGT ,CCGT,nlNode,11,Energy Producer C,828.21,
Energy Producer D CCGT ,CCGT,nlNode,12,Energy Producer D,828.21,
Energy Producer E CCGT ,CCGT,nlNode,13,Energy Producer E,828.21,
Energy Producer A CCGT ,CCGT,nlNode,14,Energy Producer A,828.21,
Energy Producer B CCGT ,CCGT,nlNode,15,Energy Producer B,828.21,
Energy Producer C CCGT ,CCGT,nlNode,16,Energy Producer C,828.21,
Energy Producer D CCGT ,CCGT,nlNode,17,Energy Producer D,828.21,
Energy Producer E CCGT ,CCGT,nlNode,18,Energy Producer E,828.21,
Energy Producer A CCGT ,CCGT,nlNode,19,Energy Producer A,828.21,
Energy Producer B CCGT ,CCGT,nlNode,20,Energy Producer B,828.21,
Energy Producer C CCGT ,CCGT,nlNode,21,Energy Producer C,828.21,
Energy Producer D CCGT ,CCGT,nlNode,22,Energy Producer D,828.21,
Energy Producer E CCGT ,CCGT,nlNode,20,Energy Producer E,828.21,
Energy Producer A CCGT ,CCGT,nlNode,19,Energy Producer A,828.21,
Energy Producer B CCGT ,CCGT,nlNode,20,Energy Producer B,828.21,
Energy Producer C CCGT ,CCGT,nlNode,21,Energy Producer C,828.21,
Energy Producer D CCGT ,CCGT,nlNode,22,Energy Producer D,828.21,
Energy Producer E CCGT ,CCGT,nlNode,10,Energy Producer E,828.21,
Energy Producer A Nuclear,Nuclear,nlNode,35,Energy Producer A,492.21,
Energy Producer B Hydro,Hydro,nlNode,20,Energy Producer B,38.242,
Renewable Target Investor NL Wind,Wind,nlNode,2,Renewable Target Investor NL,900.22,
Renewable Target Investor NL Wind,Wind,nlNode,2,Renewable Target Investor NL,900.22,
Renewable Target Investor NL Wind,Wind,nlNode,2,Renewable Target Investor NL,900.22,
Renewable Target Investor NL WindOffshore,WindOffshore,nlNode,2,Renewable Target Investor NL,228.22,
Renewable Target Investor NL Photovoltaic,Photovoltaic,nlNode,2,Renewable Target Investor NL,500.22,
Renewable Target Investor NL Photovoltaic,Photovoltaic,nlNode,2,Renewable Target Investor NL,500.22,
Renewable Target Investor NL Biomass,Biomass,nlNode,2,Renewable Target Investor NL,635.22,
Renewable Target Investor NL Biomass,Biomass,nlNode,2,Renewable Target Investor NL,635.22,
