Name,TechnologyName,LocationName,Age,OwnerName,Capacity,Efficiency
Energy Producer A CoalPSC ,CoalPSC,nlNode,12,Energy Producer A,727.21,
Energy Producer B CoalPSC ,CoalPSC,nlNode,8,Energy Producer B,727.21,
Energy Producer C CoalPSC ,CoalPSC,nlNode,16,Energy Producer C,727.21,
Energy Producer D CoalPSC ,CoalPSC,nlNode,7,Energy Producer D,727.21,
Energy Producer E CoalPSC ,CoalPSC,nlNode,8,Energy Producer E,727.21,
Energy Producer A CoalPSC ,CoalPSC,nlNode,12,Energy Producer A,727.21,
Energy Producer B CoalPSC ,CoalPSC,nlNode,8,Energy Producer B,727.21,
Energy Producer C CoalPSC ,CoalPSC,nlNode,16,Energy Producer C,727.21,
Energy Producer D CoalPSC ,CoalPSC,nlNode,12,Energy Producer D,727.21,
Energy Producer E CoalPSC ,CoalPSC,nlNode,13,Energy Producer E,727.21,
Energy Producer A CCGT ,CCGT,nlNode,7,Energy Producer A,828.21,
Energy Producer B CCGT ,CCGT,nlNode,9,Energy Producer B,828.21,
Energy Producer C CCGT ,CCGT,nlNode,16,Energy Producer C,828.21,
Energy Producer D CCGT ,CCGT,nlNode,6,Energy Producer D,828.21,
Energy Producer E CCGT ,CCGT,nlNode,16,Energy Producer E,828.21,
Energy Producer A CCGT ,CCGT,nlNode,8,Energy Producer A,828.21,
Energy Producer B CCGT ,CCGT,nlNode,10,Energy Producer B,828.21,
Energy Producer C CCGT ,CCGT,nlNode,15,Energy Producer C,828.21,
Energy Producer D CCGT ,CCGT,nlNode,11,Energy Producer D,828.21,
Energy Producer E CCGT ,CCGT,nlNode,8,Energy Producer E,828.21,
Energy Producer A CCGT ,CCGT,nlNode,10,Energy Producer A,828.21,
Energy Producer B CCGT ,CCGT,nlNode,8,Energy Producer B,828.21,
Energy Producer C CCGT ,CCGT,nlNode,13,Energy Producer C,828.21,
Energy Producer D CCGT ,CCGT,nlNode,12,Energy Producer D,828.21,
Energy Producer E CCGT ,CCGT,nlNode,9,Energy Producer E,828.21,
Energy Producer A CCGT ,CCGT,nlNode,10,Energy Producer A,828.21,
Energy Producer B CCGT ,CCGT,nlNode,8,Energy Producer B,828.21,
Energy Producer C CCGT ,CCGT,nlNode,13,Energy Producer C,828.21,
Energy Producer D CCGT ,CCGT,nlNode,7,Energy Producer D,828.21,
Energy Producer E CCGT ,CCGT,nlNode,15,Energy Producer E,828.21,
Energy Producer A CCGT ,CCGT,nlNode,15,Energy Producer A,828.21,
Energy Producer B CCGT ,CCGT,nlNode,13,Energy Producer B,828.21,
Energy Producer C CCGT ,CCGT,nlNode,6,Energy Producer C,828.21,
Energy Producer D CCGT ,CCGT,nlNode,15,Energy Producer D,828.21,
Energy Producer E CCGT ,CCGT,nlNode,15,Energy Producer E,828.21,
Energy Producer A Nuclear,Nuclear,nlNode,35,Energy Producer A,492.21,
Energy Producer B Hydro,Hydro,nlNode,20,Energy Producer B,38.242,
Renewable Target Investor NL Wind,Wind,nlNode,2,Renewable Target Investor NL,900.22,
Renewable Target Investor NL Wind,Wind,nlNode,2,Renewable Target Investor NL,900.22,
Renewable Target Investor NL Wind,Wind,nlNode,2,Renewable Target Investor NL,900.22,
Renewable Target Investor NL WindOffshore,WindOffshore,nlNode,2,Renewable Target Investor NL,228.22,
Renewable Target Investor NL Photovoltaic,Photovoltaic,nlNode,2,Renewable Target Investor NL,500.22,
Renewable Target Investor NL Photovoltaic,Photovoltaic,nlNode,2,Renewable Target Investor NL,500.22,
Renewable Target Investor NL Biomass,Biomass,nlNode,2,Renewable Target Investor NL,635.22,
Renewable Target Investor NL Biomass,Biomass,nlNode,2,Renewable Target Investor NL,635.22,
Energy Producer F CoalPSC ,CoalPSC,fblNode,8,Energy Producer F,809.21,
Energy Producer G CoalPSC ,CoalPSC,fblNode,11,Energy Producer G,809.21,
Energy Producer H CoalPSC ,CoalPSC,fblNode,7,Energy Producer H,809.21,
Energy Producer I CoalPSC ,CoalPSC,fblNode,8,Energy Producer I,809.21,
Energy Producer J CoalPSC ,CoalPSC,fblNode,6,Energy Producer J,809.21,
Energy Producer F CoalPSC ,CoalPSC,fblNode,15,Energy Producer F,809.21,
Energy Producer G CoalPSC ,CoalPSC,fblNode,9,Energy Producer G,809.21,
Energy Producer H CoalPSC ,CoalPSC,fblNode,11,Energy Producer H,809.21,
Energy Producer I CoalPSC ,CoalPSC,fblNode,15,Energy Producer I,809.21,
Energy Producer J CoalPSC ,CoalPSC,fblNode,9,Energy Producer J,809.21,
Energy Producer F CoalPSC ,CoalPSC,fblNode,10,Energy Producer F,809.21,
Energy Producer G CoalPSC ,CoalPSC,fblNode,6,Energy Producer G,809.21,
Energy Producer H CoalPSC ,CoalPSC,fblNode,14,Energy Producer H,809.21,
Energy Producer I CoalPSC ,CoalPSC,fblNode,7,Energy Producer I,809.21,
Energy Producer J CoalPSC ,CoalPSC,fblNode,11,Energy Producer J,809.21,
Energy Producer F CoalPSC ,CoalPSC,fblNode,17,Energy Producer F,606.91,
Energy Producer G CoalPSC ,CoalPSC,fblNode,12,Energy Producer G,606.91,
Energy Producer H CoalPSC ,CoalPSC,fblNode,14,Energy Producer H,606.91,
Energy Producer I CoalPSC ,CoalPSC,fblNode,13,Energy Producer I,606.91,
Energy Producer J CoalPSC ,CoalPSC,fblNode,7,Energy Producer J,606.91,
Energy Producer F CCGT,CCGT,fblNode,6,Energy Producer F,822.46,
Energy Producer G CCGT,CCGT,fblNode,6,Energy Producer G,822.46,
Energy Producer H CCGT ,CCGT,fblNode,10,Energy Producer H,822.46,
Energy Producer I CCGT ,CCGT,fblNode,14,Energy Producer I,822.46,
Energy Producer J CCGT ,CCGT,fblNode,7,Energy Producer J,822.46,
Energy Producer F CCGT,CCGT,fblNode,8,Energy Producer F,822.46,
Energy Producer G CCGT,CCGT,fblNode,13,Energy Producer G,822.46,
Energy Producer H CCGT ,CCGT,fblNode,16,Energy Producer H,822.46,
Energy Producer I CCGT ,CCGT,fblNode,8,Energy Producer I,822.46,
Energy Producer J CCGT ,CCGT,fblNode,12,Energy Producer J,822.46,
Energy Producer F CCGT,CCGT,fblNode,15,Energy Producer F,822.46,
Energy Producer G CCGT,CCGT,fblNode,11,Energy Producer G,822.46,
Energy Producer H CCGT ,CCGT,fblNode,6,Energy Producer H,822.46,
Energy Producer I CCGT ,CCGT,fblNode,17,Energy Producer I,822.46,
Energy Producer J CCGT ,CCGT,fblNode,13,Energy Producer J,822.46,
Energy Producer F CCGT,CCGT,fblNode,6,Energy Producer F,606.91,
Energy Producer G CCGT,CCGT,fblNode,14,Energy Producer G,606.91,
Energy Producer H CCGT ,CCGT,fblNode,16,Energy Producer H,606.91,
Energy Producer I CCGT ,CCGT,fblNode,12,Energy Producer I,606.91,
Energy Producer J CCGT ,CCGT,fblNode,12,Energy Producer J,606.91,
Energy Producer F Nuclear,Nuclear,fblNode,18,Energy Producer F,1233.14,
Energy Producer G Nuclear,Nuclear,fblNode,23,Energy Producer G,1233.14,
Energy Producer H Nuclear,Nuclear,fblNode,20,Energy Producer H,1233.14,
Energy Producer I Nuclear,Nuclear,fblNode,27,Energy Producer I,1233.14,
Energy Producer J Nuclear,Nuclear,fblNode,21,Energy Producer J,1233.14,
Energy Producer F Nuclear,Nuclear,fblNode,16,Energy Producer F,1233.14,
Energy Producer G Nuclear,Nuclear,fblNode,24,Energy Producer G,1233.14,
Energy Producer H Nuclear,Nuclear,fblNode,16,Energy Producer H,1233.14,
Energy Producer I Nuclear,Nuclear,fblNode,23,Energy Producer I,1233.14,
Energy Producer J Nuclear,Nuclear,fblNode,16,Energy Producer J,1233.14,
Energy Producer F Nuclear,Nuclear,fblNode,16,Energy Producer F,1233.14,
Energy Producer G Nuclear,Nuclear,fblNode,20,Energy Producer G,1233.14,
Energy Producer H Nuclear,Nuclear,fblNode,17,Energy Producer H,1233.14,
Energy Producer I Nuclear,Nuclear,fblNode,16,Energy Producer I,1233.14,
Energy Producer J Nuclear,Nuclear,fblNode,21,Energy Producer J,1233.14,
Energy Producer F Nuclear,Nuclear,fblNode,24,Energy Producer F,1233.14,
Energy Producer G Nuclear,Nuclear,fblNode,28,Energy Producer G,1233.14,
Energy Producer H Nuclear,Nuclear,fblNode,23,Energy Producer H,1233.14,
Energy Producer I Nuclear,Nuclear,fblNode,16,Energy Producer I,1233.14,
Energy Producer J Nuclear,Nuclear,fblNode,30,Energy Producer J,1233.14,
Energy Producer F Nuclear,Nuclear,fblNode,29,Energy Producer F,1233.14,
Energy Producer G Nuclear,Nuclear,fblNode,27,Energy Producer G,1233.14,
Energy Producer H Nuclear,Nuclear,fblNode,22,Energy Producer H,1233.14,
Energy Producer I Nuclear,Nuclear,fblNode,30,Energy Producer I,1233.14,
Energy Producer J Nuclear,Nuclear,fblNode,23,Energy Producer J,1233.14,
Energy Producer F Nuclear,Nuclear,fblNode,20,Energy Producer F,1233.14,
Energy Producer G Nuclear,Nuclear,fblNode,22,Energy Producer G,1233.14,
Energy Producer H Nuclear,Nuclear,fblNode,22,Energy Producer H,1233.14,
Energy Producer I Nuclear,Nuclear,fblNode,28,Energy Producer I,1233.14,
Energy Producer J Nuclear,Nuclear,fblNode,30,Energy Producer J,1233.14,
Energy Producer F Nuclear,Nuclear,fblNode,27,Energy Producer F,1233.14,
Energy Producer G Nuclear,Nuclear,fblNode,16,Energy Producer G,1233.14,
Energy Producer H Nuclear,Nuclear,fblNode,23,Energy Producer H,1233.14,
Energy Producer I Nuclear,Nuclear,fblNode,16,Energy Producer I,1233.14,
Energy Producer J Nuclear,Nuclear,fblNode,28,Energy Producer J,1233.14,
Energy Producer F Nuclear,Nuclear,fblNode,29,Energy Producer F,1233.14,
Energy Producer G Nuclear,Nuclear,fblNode,18,Energy Producer G,1233.14,
Energy Producer H Nuclear,Nuclear,fblNode,22,Energy Producer H,1233.14,
Energy Producer I Nuclear,Nuclear,fblNode,15,Energy Producer I,1233.14,
Energy Producer J Nuclear,Nuclear,fblNode,27,Energy Producer J,1233.14,
Energy Producer F Nuclear,Nuclear,fblNode,23,Energy Producer F,1233.14,
Energy Producer G Nuclear,Nuclear,fblNode,17,Energy Producer G,1233.14,
Energy Producer H Nuclear,Nuclear,fblNode,16,Energy Producer H,1233.14,
Energy Producer I Nuclear,Nuclear,fblNode,26,Energy Producer I,1233.14,
Energy Producer J Nuclear,Nuclear,fblNode,18,Energy Producer J,1233.14,
Energy Producer F Nuclear,Nuclear,fblNode,23,Energy Producer F,1233.14,
Energy Producer G Nuclear,Nuclear,fblNode,19,Energy Producer G,1233.14,
Energy Producer H Nuclear,Nuclear,fblNode,16,Energy Producer H,1233.14,
Energy Producer I Nuclear,Nuclear,fblNode,16,Energy Producer I,1233.14,
Energy Producer J Nuclear,Nuclear,fblNode,21,Energy Producer J,1233.14,
Energy Producer F Nuclear,Nuclear,fblNode,16,Energy Producer F,1233.14,
Energy Producer G Nuclear,Nuclear,fblNode,30,Energy Producer G,1233.14,
Energy Producer H Nuclear,Nuclear,fblNode,18,Energy Producer H,1233.14,
Energy Producer I Nuclear,Nuclear,fblNode,23,Energy Producer I,1233.14,
Energy Producer J Nuclear,Nuclear,fblNode,29,Energy Producer J,1233.14,
Energy Producer F Nuclear,Nuclear,fblNode,26,Energy Producer F,1233.14,
Energy Producer G Nuclear,Nuclear,fblNode,28,Energy Producer G,1233.14,
Energy Producer H Nuclear,Nuclear,fblNode,21,Energy Producer H,1233.14,
Energy Producer I Nuclear,Nuclear,fblNode,18,Energy Producer I,1233.14,
Energy Producer J Nuclear,Nuclear,fblNode,26,Energy Producer J,1233.14,
Energy Producer F Nuclear,Nuclear,fblNode,20,Energy Producer F,1233.14,
Energy Producer G Nuclear,Nuclear,fblNode,15,Energy Producer G,1233.14,
Energy Producer H Nuclear,Nuclear,fblNode,27,Energy Producer H,1233.14,
