,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080
demandGrowthTrendNL-1,1.021,1.026,1.014,1.027,1.006,1.013,1.031,1.023,1.005,1.01,1.019,1.027,1.01,1.021,1.029,1.021,1.006,1.024,1.011,1.018,1.007,1.029,1.012,1.024,1.033,1.012,1.035,1.02,1.033,1.028,1.022,1.02,1.022,1.006,1.007,1.005,1.009,1.008,1.028,1.025,1.006,1.023,1.034,1.021,1.032,1.013,1.01,1.034,1.027,1.018,1.013,1.031,1.019,1.032,1.028,1.02,1.007,1.022,1.029,1.021,1.033,1.016,1.027,1.018,1.008,1.012
demandGrowthTrendNL-2,1.021,1.015,1.012,1.033,1.017,1.013,1.033,1.016,1.018,1.023,1.028,1.011,1.013,1.016,1.006,1.025,1.023,1.025,1.009,1.008,1.006,1.026,1.008,1.026,1.013,1.018,1.029,1.031,1.022,1.026,1.005,1.007,1.03,1.025,1.007,1.024,1.01,1.013,1.02,1.007,1.027,1.033,1.03,1.028,1.032,1.028,1.022,1.025,1.026,1.012,1.011,1.034,1.008,1.01,1.009,1.02,1.032,1.025,1.027,1.02,1.035,1.018,1.033,1.029,1.034,1.012
demandGrowthTrendNL-3,1.021,1.028,1.034,1.01,1.018,1.021,1.032,1.03,1.009,1.025,1.011,1.013,1.023,1.035,1.013,1.011,1.031,1.034,1.021,1.012,1.022,1.017,1.012,1.008,1.022,1.015,1.03,1.019,1.026,1.025,1.024,1.025,1.025,1.03,1.007,1.031,1.018,1.034,1.032,1.005,1.029,1.028,1.007,1.014,1.026,1.035,1.035,1.012,1.02,1.017,1.006,1.013,1.016,1.024,1.032,1.019,1.025,1.007,1.028,1.021,1.023,1.024,1.017,1.033,1.022,1.026
demandGrowthTrendNL-4,1.021,1.032,1.007,1.016,1.03,1.031,1.033,1.012,1.022,1.033,1.023,1.024,1.008,1.009,1.007,1.027,1.008,1.01,1.019,1.029,1.007,1.018,1.028,1.017,1.019,1.024,1.012,1.011,1.007,1.011,1.013,1.013,1.021,1.015,1.029,1.009,1.013,1.024,1.018,1.017,1.006,1.022,1.008,1.016,1.013,1.011,1.031,1.021,1.016,1.012,1.016,1.014,1.017,1.022,1.026,1.008,1.033,1.018,1.018,1.015,1.015,1.034,1.031,1.006,1.029,1.011
demandGrowthTrendNL-5,1.021,1.021,1.023,1.029,1.018,1.03,1.008,1.019,1.025,1.022,1.024,1.032,1.025,1.031,1.012,1.028,1.02,1.013,1.01,1.035,1.017,1.028,1.026,1.011,1.02,1.026,1.015,1.025,1.008,1.028,1.012,1.031,1.029,1.005,1.025,1.008,1.026,1.027,1.02,1.027,1.022,1.01,1.02,1.012,1.01,1.011,1.017,1.016,1.01,1.01,1.027,1.012,1.006,1.021,1.016,1.033,1.018,1.034,1.031,1.009,1.007,1.007,1.029,1.018,1.024,1.028
demandGrowthTrendNL-6,1.021,1.029,1.013,1.031,1.032,1.012,1.017,1.013,1.017,1.021,1.029,1.018,1.032,1.014,1.02,1.033,1.009,1.013,1.005,1.02,1.019,1.029,1.019,1.011,1.024,1.027,1.009,1.01,1.024,1.034,1.013,1.006,1.031,1.027,1.027,1.013,1.03,1.032,1.032,1.014,1.028,1.014,1.01,1.027,1.008,1.024,1.026,1.01,1.034,1.011,1.009,1.029,1.013,1.019,1.027,1.006,1.011,1.021,1.021,1.011,1.026,1.009,1.024,1.02,1.032,1.035
demandGrowthTrendNL-7,1.021,1.03,1.035,1.014,1.03,1.017,1.012,1.013,1.006,1.021,1.01,1.034,1.023,1.031,1.034,1.021,1.014,1.01,1.031,1.015,1.032,1.015,1.029,1.024,1.03,1.008,1.007,1.032,1.007,1.007,1.028,1.019,1.026,1.033,1.022,1.027,1.007,1.018,1.026,1.012,1.029,1.022,1.031,1.019,1.017,1.023,1.011,1.015,1.016,1.029,1.026,1.011,1.008,1.017,1.032,1.012,1.023,1.019,1.029,1.013,1.025,1.031,1.011,1.034,1.026,1.032
demandGrowthTrendNL-8,1.021,1.017,1.015,1.008,1.022,1.01,1.03,1.014,1.008,1.03,1.023,1.015,1.005,1.029,1.017,1.025,1.015,1.012,1.027,1.028,1.01,1.007,1.02,1.033,1.029,1.029,1.024,1.023,1.031,1.026,1.016,1.016,1.034,1.026,1.022,1.009,1.015,1.01,1.031,1.028,1.02,1.008,1.01,1.028,1.028,1.028,1.022,1.008,1.031,1.018,1.009,1.025,1.012,1.014,1.035,1.028,1.012,1.025,1.02,1.027,1.015,1.016,1.022,1.028,1.033,1.028
demandGrowthTrendNL-9,1.021,1.005,1.028,1.023,1.03,1.009,1.033,1.034,1.018,1.017,1.017,1.016,1.014,1.034,1.027,1.031,1.033,1.019,1.013,1.017,1.016,1.034,1.023,1.019,1.028,1.012,1.014,1.03,1.029,1.032,1.035,1.031,1.026,1.021,1.021,1.03,1.01,1.011,1.033,1.025,1.015,1.031,1.012,1.014,1.024,1.032,1.014,1.023,1.005,1.026,1.024,1.013,1.023,1.022,1.012,1.019,1.017,1.03,1.013,1.024,1.011,1.028,1.015,1.026,1.016,1.027
demandGrowthTrendNL-10,1.021,1.029,1.007,1.021,1.013,1.012,1.006,1.028,1.005,1.021,1.01,1.032,1.019,1.024,1.013,1.019,1.013,1.014,1.026,1.023,1.032,1.028,1.029,1.008,1.024,1.02,1.02,1.03,1.03,1.024,1.013,1.033,1.013,1.032,1.016,1.018,1.031,1.035,1.018,1.019,1.032,1.012,1.017,1.006,1.034,1.023,1.034,1.005,1.005,1.009,1.02,1.024,1.018,1.022,1.033,1.029,1.018,1.015,1.028,1.03,1.027,1.033,1.007,1.033,1.029,1.031
