hour,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18
1,1.00604922,1.00877402,1.00664617,1.00504088,1.00896446,1.00212384,1.00719816,1.00769447,1.00550314,1.00174243,1.00125308,1.00794331,1.00228568,1.00517523,1.00398897,1.00593339,1.00309177,1.00823384
2,1.00360659,1.00173652,1.00152742,1.00206138,1.00836224,1.00570403,1.00286234,1.00305744,1.00341203,1.00460469,1.00233183,1.00879168,1.00567914,1.00339271,1.00758740,1.00684458,1.00190794,1.00171872
3,1.00594591,1.00476165,1.00712658,1.00585284,1.00367889,1.00516869,1.00386961,1.00137510,1.00840961,1.00564581,1.00747195,1.00209070,1.00750455,1.00161562,1.00127032,1.00373493,1.00263940,1.00415573
4,1.00255459,1.00749510,1.00488251,1.00651518,1.00139825,1.00123527,1.00204289,1.00710015,1.00651896,1.00692862,1.00685939,1.00702285,1.00637580,1.00732366,1.00593844,1.00693965,1.00677066,1.00818590
5,1.00547953,1.00709072,1.00223539,1.00848508,1.00110474,1.00220695,1.00251723,1.00396188,1.00132942,1.00715840,1.00770482,1.00673918,1.00352635,1.00326718,1.00299084,1.00547005,1.00351372,1.00785727
6,1.00264674,1.00108779,1.00420260,1.00808519,1.00688406,1.00843062,1.00729260,1.00736221,1.00758883,1.00101197,1.00671791,1.00276430,1.00138168,1.00897722,1.00862223,1.00157083,1.00839681,1.00815631
7,1.00476075,1.00383442,1.00191740,1.00779676,1.00581778,1.00874171,1.00631185,1.00312351,1.00627182,1.00465751,1.00619937,1.00319691,1.00629636,1.00564415,1.00486611,1.00343625,1.00523885,1.00733299
8,1.00170726,1.00458505,1.00404888,1.00822050,1.00535822,1.00662574,1.00571542,1.00828416,1.00755464,1.00278491,1.00590423,1.00201149,1.00506964,1.00204238,1.00538582,1.00491947,1.00318380,1.00255415
9,1.00504945,1.00212226,1.00633367,1.00685705,1.00863539,1.00876649,1.00114352,1.00727964,1.00100588,1.00335926,1.00745957,1.00789278,1.00383402,1.00823730,1.00510509,1.00796723,1.00494952,1.00286398
10,1.00228819,1.00562136,1.00892910,1.00353006,1.00104514,1.00794795,1.00813165,1.00809859,1.00844616,1.00185953,1.00502608,1.00392871,1.00257753,1.00459270,1.00863475,1.00544778,1.00716441,1.00419683
11,1.00851761,1.00518059,1.00219325,1.00857736,1.00346304,1.00268781,1.00398956,1.00512261,1.00594252,1.00707903,1.00387518,1.00325583,1.00216190,1.00620831,1.00506539,1.00880410,1.00114814,1.00446862
12,1.00595226,1.00524115,1.00674615,1.00886670,1.00798540,1.00697637,1.00216514,1.00138286,1.00229455,1.00165878,1.00107698,1.00315451,1.00723033,1.00611378,1.00465078,1.00201738,1.00806987,1.00417559
13,1.00886017,1.00383413,1.00887487,1.00323410,1.00254441,1.00541668,1.00285202,1.00350184,1.00342557,1.00392480,1.00627502,1.00398051,1.00252957,1.00292834,1.00300800,1.00622557,1.00760760,1.00487748
14,1.00561463,1.00229424,1.00408706,1.00544190,1.00643640,1.00668472,1.00240802,1.00872499,1.00156192,1.00831581,1.00205164,1.00384986,1.00590966,1.00587582,1.00361144,1.00641826,1.00279458,1.00642099
15,1.00430119,1.00663630,1.00178170,1.00867946,1.00389155,1.00330766,1.00348731,1.00239346,1.00817406,1.00430158,1.00472769,1.00428321,1.00691684,1.00549134,1.00629972,1.00794455,1.00750680,1.00232920
16,1.00533615,1.00130381,1.00625818,1.00231535,1.00426568,1.00384915,1.00707382,1.00513524,1.00160650,1.00149484,1.00647052,1.00638588,1.00737391,1.00718050,1.00328222,1.00869401,1.00203232,1.00586493
17,1.00535152,1.00424108,1.00340210,1.00878823,1.00879629,1.00806721,1.00502840,1.00686891,1.00375608,1.00482567,1.00842578,1.00750211,1.00325730,1.00504766,1.00553492,1.00656320,1.00494509,1.00597256
18,1.00139791,1.00401384,1.00248199,1.00685549,1.00440101,1.00286213,1.00881735,1.00729750,1.00699432,1.00140081,1.00888067,1.00382015,1.00274993,1.00141880,1.00737299,1.00183670,1.00471500,1.00269972
19,1.00355483,1.00879379,1.00810535,1.00491884,1.00275275,1.00652862,1.00449627,1.00563621,1.00676971,1.00839767,1.00564199,1.00713830,1.00826237,1.00383175,1.00683031,1.00846266,1.00554520,1.00317585
20,1.00466171,1.00528574,1.00745813,1.00610882,1.00510779,1.00184312,1.00813108,1.00648195,1.00285001,1.00660001,1.00872541,1.00474724,1.00542308,1.00593377,1.00460151,1.00794626,1.00893190,1.00567086
21,1.00281703,1.00441815,1.00695000,1.00150162,1.00893209,1.00710620,1.00795689,1.00376000,1.00249054,1.00822132,1.00825397,1.00231563,1.00135660,1.00156637,1.00661691,1.00579751,1.00390404,1.00389264
22,1.00574445,1.00612916,1.00616438,1.00293731,1.00239812,1.00649784,1.00538091,1.00821583,1.00782848,1.00819363,1.00136486,1.00885140,1.00411548,1.00690675,1.00502564,1.00204775,1.00259416,1.00373745
23,1.00760669,1.00640576,1.00639108,1.00451640,1.00749802,1.00853947,1.00151395,1.00529263,1.00848521,1.00115723,1.00539010,1.00828156,1.00734191,1.00414135,1.00671038,1.00490551,1.00670208,1.00815486
24,1.00145264,1.00714436,1.00448527,1.00622778,1.00219209,1.00185049,1.00447274,1.00296593,1.00141158,1.00620100,1.00282945,1.00791913,1.00313925,1.00683026,1.00166717,1.00318825,1.00402427,1.00440799
25,1.00536705,1.00253791,1.00205447,1.00301783,1.00421343,1.00769271,1.00747994,1.00803657,1.00411322,1.00465922,1.00351094,1.00839442,1.00839899,1.00777415,1.00808792,1.00200540,1.00242218,1.00333420
26,1.00248602,1.00499507,1.00180326,1.00529616,1.00577914,1.00511437,1.00837210,1.00682525,1.00458828,1.00124625,1.00881413,1.00817868,1.00406764,1.00283963,1.00641057,1.00696865,1.00590095,1.00860015
27,1.00314141,1.00576345,1.00215470,1.00305707,1.00886212,1.00132927,1.00117625,1.00258775,1.00683839,1.00436719,1.00890924,1.00488819,1.00614095,1.00551646,1.00394120,1.00194359,1.00858310,1.00674872
28,1.00528822,1.00466431,1.00689090,1.00511916,1.00801075,1.00581811,1.00679239,1.00161945,1.00677290,1.00100939,1.00827875,1.00644822,1.00654115,1.00509222,1.00724515,1.00482110,1.00896788,1.00896882
29,1.00144395,1.00685924,1.00669214,1.00554637,1.00354470,1.00191956,1.00359892,1.00732897,1.00254772,1.00248303,1.00103427,1.00353077,1.00662585,1.00810681,1.00685722,1.00650359,1.00597919,1.00461303
30,1.00681209,1.00252086,1.00880561,1.00324092,1.00451232,1.00793212,1.00159071,1.00838648,1.00387124,1.00779318,1.00378556,1.00336361,1.00628437,1.00648630,1.00316822,1.00682080,1.00337186,1.00363850
31,1.00540778,1.00533777,1.00694956,1.00209605,1.00315518,1.00307783,1.00709804,1.00840511,1.00581274,1.00842365,1.00141251,1.00776718,1.00159728,1.00802650,1.00355428,1.00667903,1.00702354,1.00336851
32,1.00868399,1.00450953,1.00209913,1.00357320,1.00762886,1.00564209,1.00155812,1.00655246,1.00564910,1.00515525,1.00783384,1.00177390,1.00857686,1.00253915,1.00388732,1.00802909,1.00752863,1.00837482
33,1.00117691,1.00468595,1.00844322,1.00864910,1.00358564,1.00125385,1.00537791,1.00488112,1.00572283,1.00702153,1.00715149,1.00186357,1.00790337,1.00180867,1.00593625,1.00418312,1.00363102,1.00148607
34,1.00596403,1.00239839,1.00595001,1.00183893,1.00232929,1.00511604,1.00422141,1.00549558,1.00189511,1.00270852,1.00358133,1.00364390,1.00247023,1.00722635,1.00792640,1.00152416,1.00827474,1.00377750
35,1.00156976,1.00264497,1.00149320,1.00710180,1.00226467,1.00562724,1.00392728,1.00324143,1.00387379,1.00703944,1.00519668,1.00572279,1.00675163,1.00514758,1.00155782,1.00481176,1.00131388,1.00395842
36,1.00515567,1.00582680,1.00276618,1.00596813,1.00372381,1.00856605,1.00668232,1.00651797,1.00537673,1.00669725,1.00465835,1.00627689,1.00297587,1.00383010,1.00675932,1.00350611,1.00573221,1.00528404
37,1.00257850,1.00403021,1.00306331,1.00621385,1.00623946,1.00651745,1.00569570,1.00636613,1.00343708,1.00134004,1.00390327,1.00369135,1.00796350,1.00678597,1.00848083,1.00169951,1.00758900,1.00431411
38,1.00596569,1.00882817,1.00854725,1.00592155,1.00460220,1.00403329,1.00871353,1.00205397,1.00435211,1.00831155,1.00568398,1.00564150,1.00512699,1.00502662,1.00641402,1.00657212,1.00420133,1.00733664
39,1.00760288,1.00708323,1.00308906,1.00607096,1.00776655,1.00125146,1.00385601,1.00589199,1.00217160,1.00325235,1.00169876,1.00419028,1.00191618,1.00428562,1.00638623,1.00197898,1.00178444,1.00655941
