Year,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080
BioFuelTotalNL,3053.75,3165,3277.5,3391.25,3502.5,3615.125,3727.5,3839.875,3952.25,4064.625,4177,4289.375,4401.75,4514.125,4626.5,4738.875,4851.25,4963.625,5076,5188.375,5300.75,5413.125,5525.5,5637.875,5750.25,5862.625,5975,6087.375,6199.75,6312.125,7066.95,7190.563,7314.175,7437.788,7561.4,7685.013,7808.625,7932.238,8055.85,8179.463,8303.075,8426.688,8550.3,8673.913,8797.525,8921.138,9044.75,9168.363,9291.975,9415.588,9539.2,9662.813,9786.425,9910.038,10033.65,10157.26,10280.88,10404.49,10528.1,10651.71,10775.33,10898.94,11022.55,11146.16,11269.78,11393.39
WindOffshoreNL,1472.5,2472.5,3472.5,4472.5,5472.5,6472.5,7472.5,8472.5,9472.5,10472.5,11472.5,12472.5,13472.5,14472.5,15472.5,16472.5,17472.5,18472.5,19472.5,20472.5,21472.5,22472.5,23472.5,24472.5,25472.5,26472.5,27472.5,28472.5,29472.5,30472.5,34619.75,35719.75,36819.75,37919.75,39019.75,40119.75,41219.75,42319.75,43419.75,44519.75,45619.75,46719.75,47819.75,48919.75,50019.75,51119.75,52219.75,53319.75,54419.75,55519.75,56619.75,57719.75,58819.75,59919.75,61019.75,62119.75,63219.75,64319.75,65419.75,66519.75,67619.75,68719.75,69819.75,70919.75,72019.75,73119.75
WindOnshoreNL,5500,5900,6300,6700,7100,7500,7900,8300,8700,9100,9500,9900,10300,10700,11100,11500,11900,12300,12700,13100,13500,13900,14300,14700,15100,15500,15900,16300,16700,17100,19250,19690,20130,20570,21010,21450,21890,22330,22770,23210,23650,24090,24530,24970,25410,25850,26290,26730,27170,27610,28050,28490,28930,29370,29810,30250,30690,31130,31570,32010,32450,32890,33330,33770,34210,34650
PhotoVoltaicNL,396.25,497.5,598.75,700,801.25,902.5,1003.75,1105,1206.25,1307.5,1408.75,1510,1611.25,1712.5,1813.75,1915,2016.25,2117.5,2218.75,2320,2421.25,2522.5,2623.75,2725,2826.25,2927.5,3028.75,3130,3231.25,3332.5,3777.125,3888.5,3999.875,4111.25,4222.625,4334,4445.375,4556.75,4668.125,4779.5,4890.875,5002.25,5113.625,5225,5336.375,5447.75,5559.125,5670.5,5781.875,5893.25,6004.625,6116,6227.375,6338.75,6450.125,6561.5,6672.875,6784.25,6895.625,7007,7118.375,7229.75,7341.125,7452.5,7563.875,7675.25
BioFuelTotalDE,9355,9673.75,9967.5,10253.75,10512.5,10821,11110.5,11400,11689.5,11979,12268.5,12558,12847.5,13137,13426.5,13716,14005.5,14295,14584.5,14874,15163.5,15453,15742.5,16032,16321.5,16611,16900.5,17190,17479.5,17769,19864.35,20182.8,20501.25,20819.7,21138.15,21456.6,21775.05,22093.5,22411.95,22730.4,23048.85,23367.3,23685.75,24004.2,24322.65,24641.1,24959.55,25278,25596.45,25914.9,26233.35,26551.8,26870.25,27188.7,27507.15,27825.6,28144.05,28462.5,28780.95,29099.4,29417.85,29736.3,30054.75,30373.2,30691.65,31010.1
WindOffshoreDE,3750,5125,6675,8402.5,10340,11795.75,13441.5,15087.25,16733,18378.75,20024.5,21670.25,23316,24961.75,26607.5,28253.25,29899,31544.75,33190.5,34836.25,36482,38127.75,39773.5,41419.25,43065,44710.75,46356.5,48002.25,49648,51293.75,58233.45,60043.78,61854.1,63664.43,65474.75,67285.08,69095.4,70905.73,72716.05,74526.38,76336.7,78147.03,79957.35,81767.68,83578,85388.33,87198.65,89008.98,90819.3,92629.63,94439.95,96250.28,98060.6,99870.93,101681.3,103491.6,105301.9,107112.2,108922.6,110732.9,112543.2,114353.5,116163.9,117974.2,119784.5,121594.8
WindOnshoreDE,42058.75,42963.75,43518.75,43985,44348.75,45055.38,45615.5,46175.63,46735.75,47295.88,47856,48416.13,48976.25,49536.38,50096.5,50656.63,51216.75,51776.88,52337,52897.13,53457.25,54017.38,54577.5,55137.63,55697.75,56257.88,56818,57378.13,57938.25,58498.38,64964.35,65580.49,66196.63,66812.76,67428.9,68045.04,68661.18,69277.31,69893.45,70509.59,71125.73,71741.86,72358,72974.14,73590.28,74206.41,74822.55,75438.69,76054.83,76670.96,77287.1,77903.24,78519.38,79135.51,79751.65,80367.79,80983.93,81600.06,82216.2,82832.34,83448.48,84064.61,84680.75,85296.89,85913.03,86529.16
PhotoVoltaicDE,42848.75,47221.25,51592.5,55960,60327.5,64698.88,69068.5,73438.13,77807.75,82177.38,86547,90916.63,95286.25,99655.88,104025.5,108395.1,112764.8,117134.4,121504,125873.6,130243.3,134612.9,138982.5,143352.1,147721.8,152091.4,156461,160830.6,165200.3,169569.9,191333.5,196140,200946.6,205753.2,210559.8,215366.4,220173,224979.6,229786.2,234592.7,239399.3,244205.9,249012.5,253819.1,258625.7,263432.3,268238.9,273045.4,277852,282658.6,287465.2,292271.8,297078.4,301885,306691.6,311498.1,316304.7,321111.3,325917.9,330724.5,335531.1,340337.7,345144.3,349950.8,354757.4,359564
BioFuelTotalFBL,4006.5,6314.5,8622.5,10930.5,13238.5,15546.5,17854.5,20162.5,22470.5,24778.5,27086.5,29394.5,31702.5,34010.5,36318.5,38626.5,40934.5,43242.5,45550.5,47858.5,50166.5,52474.5,54782.5,57090.5,58159.5,59228.5,60297.5,61366.5,62435.5,63504.5,64573.5,65642.5,66711.5,67780.5,68849.5,69918.5,70987.5,72056.5,73125.5,74194.5,75263.5,76332.5,77401.5,78470.5,79539.5,80608.5,81677.5,82746.5,83815.5,84884.5,85953.5,87022.5,88091.5,89160.5,90229.5,91298.5,92367.5,93436.5,94505.5,95574.5,96643.5,97712.5,98781.5,99850.5,100919.5,101988.5
WindOffshoreFBL,4940,6429,7918,9407,10896,12385,13874,15363,16852,18341,19830,21319,22808,24297,25786,27275,28764,30253,31742,33231,34720,36209,37698,39206,39975,40744,41513,42282,43051,43820,44589,45358,46127,46896,47665,48434,49203,49972,50741,51510,52279,53048,54082.05,55237.6,56393.15,57548.7,58704.25,59859.8,61015.35,62170.9,63326.45,64482,65637.55,66793.1,67948.65,69104.2,70259.75,71415.3,72570.85,73726.4,74881.95,76037.5,77193.05,78348.6,79504.15,80659.7
